Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-02-28 13:39:33.372 -0500,"Aborted",0:00:48,1,0,0,"20230228_133933.372/LogFile.txt","","",0
2023-02-28 14:03:54.132 -0500,"Aborted",0:01:52,1,0,0,"20230228_140354.132/LogFile.txt","","",0
2023-03-01 09:19:05.004 -0500,"Aborted",0:02:06,1,0,1,"20230301_091905.004/LogFile.txt","","",0
2023-03-01 12:22:03.388 -0500,"Aborted",0:00:42,1,0,0,"20230301_122203.388/LogFile.txt","","",0
2023-03-01 12:26:14.437 -0500,"Failure",0:00:03,1,0,1,"20230301_122614.437/LogFile.txt","","No Remote Connection -- doubleclick Error - Remote Connection Unavailable",0
2023-03-01 12:27:06.463 -0500,"Failure",0:00:03,1,0,1,"20230301_122706.463/LogFile.txt","","No Remote Connection -- doubleclick Error - Remote Connection Unavailable",0
2023-03-01 17:13:19.908 -0500,"Aborted",0:00:09,1,0,1,"20230301_171319.908/LogFile.txt","","",0
2023-03-01 17:14:16.082 -0500,"Aborted",0:03:39,1,0,0,"20230301_171416.082/LogFile.txt","","",0
2023-03-01 17:19:56.272 -0500,"Success",0:05:13,0,0,0,"20230301_171956.272/LogFile.txt","","",1
2023-03-14 12:57:03.310 -0400,"Aborted",0:00:05,1,0,0,"20230314_125703.310/LogFile.txt","","",0
2023-03-14 12:57:20.633 -0400,"Aborted",0:00:47,1,0,0,"20230314_125720.633/LogFile.txt","","",0
2023-03-20 16:41:15.153 -0400,"Aborted",0:01:05,1,0,0,"20230320_164115.153/LogFile.txt","","",0
2023-03-21 08:07:57.194 -0400,"Aborted",0:01:20,1,0,0,"20230321_080757.194/LogFile.txt","","",0
2023-03-21 08:11:19.338 -0400,"Aborted",0:00:55,1,0,0,"20230321_081119.338/LogFile.txt","","",0
2023-03-21 09:46:13.858 -0400,"Aborted",0:00:47,1,0,0,"20230321_094613.858/LogFile.txt","","",0
2023-03-21 09:56:28.659 -0400,"Aborted",0:01:09,1,0,1,"20230321_095628.659/LogFile.txt","","",0
2023-03-21 09:58:55.933 -0400,"Aborted",0:01:02,1,0,1,"20230321_095855.933/LogFile.txt","","",0
2023-03-21 10:00:43.142 -0400,"Aborted",0:02:13,1,0,1,"20230321_100043.142/LogFile.txt","","",0
2023-03-21 10:05:29.453 -0400,"Aborted",0:03:51,1,0,1,"20230321_100529.453/LogFile.txt","","",0
2023-03-21 10:11:06.701 -0400,"Aborted",0:01:15,1,0,0,"20230321_101106.701/LogFile.txt","","",0
2023-03-21 10:13:07.329 -0400,"Aborted",0:01:30,1,0,0,"20230321_101307.329/LogFile.txt","","",0
2023-03-21 10:18:26.290 -0400,"Aborted",0:01:34,1,0,0,"20230321_101826.290/LogFile.txt","","",0
2023-03-21 10:23:33.130 -0400,"Aborted",0:02:33,1,0,0,"20230321_102333.130/LogFile.txt","","",0
2023-03-21 10:27:00.516 -0400,"Aborted",0:01:17,1,0,0,"20230321_102700.516/LogFile.txt","","",0
